SHAC.SunICRF.AOP          SHAC.SunICRF.INC          SHAC.Sun.TA               SHAC.SunICRF.RAAN         SHAC.Sun.RMAG             SHAC.ElapsedDays          
177.0799411368421         23.1136064196075          342.4073939588022         0.303194283568232         148198167.903178          0                         
177.0798873785895         23.11360714789704         342.423323632722          0.3031935900752585        148187643.1739613         0.006944444445252884      
177.0797764276586         23.11360867444203         342.4535512057039         0.3031921382013635        148167707.2924671         0.02011525471607456       
177.07957331132           23.11361154133847         342.5013788838541         0.3031894170858672        148136260.8860138         0.04093524337076815       
177.0791272982665         23.11361809992745         342.5828942698869         0.3031832133722205        148082953.5917322         0.07635497245064471       
177.0784112387625         23.11362917854406         342.6746117314493         0.3031727819168581        148023450.2771968         0.1160816982155666        
177.0774505408037         23.11364474842803         342.7590275843897         0.3031581888737886        147969193.8130699         0.1524833000949002        
177.0761288647574         23.11366696942715         342.8400507296027         0.3031374522878172        147917658.7878311         0.1872191622605897        
177.0748501958959         23.11368897248975         342.8985596703829         0.3031169930863558        147880824.4074617         0.2121437763998983        
177.0731739114869         23.11371825060798         342.9593176293217         0.3030898546341136        147842949.4121968         0.2378586851118598        
177.0712839034656         23.11375167535733         343.0153856951501         0.3030589670386621        147808353.6923581         0.2614247893361608        
177.0691632821029         23.1137896327655          343.0693966132755         0.3030239914584348        147775341.1506638         0.2839827735951985        
177.0669170181148         23.11383035017881         343.121049906097          0.3029865757477925        147744019.6494875         0.3054497833945788        
177.0647018588211         23.1138710232539          343.1695642173652         0.3029492980607128        147714766.2387307         0.3255569745087996        
177.0624415857245         23.11391307210371         343.2191721912068         0.3029108579336264        147684947.1950534         0.3461109313720954        
177.0602946734756         23.11395355320507         343.2687751898286         0.3028739470088289        147655156.9195777         0.3667041001390317        
177.0583519830488         23.11399067928349         343.3181743173061         0.3028401834254766        147625462.3497733         0.3872903007359128        
177.0565615984323         23.11402536487632         343.3703570656143         0.3028087242151644        147594034.6568444         0.4091427801467944        
177.0550003908728         23.11405603864523         343.424468674377          0.3027809827483132        147561374.3360538         0.4319232783018379        
177.0536180980446         23.11408359623075         343.4833504738331         0.3027561354773539        147525770.0300283         0.4568400049611228        
177.0524562671371         23.11410711487485         343.5459402871522         0.302735000047618         147487885.0941897         0.4834481803918607        
177.0514760632393         23.11412727466162         343.6142083303996         0.3027169481928149        147446566.0305217         0.512581240865984         
177.0506340456916         23.11414488951028         343.6919146055232         0.3027012388293705        147399596.2926106         0.545842863371945         
177.0499782267309         23.11415885543466         343.7731710570518         0.3026888391211099        147350606.3603503         0.5807005828464753        
177.0494208956376         23.11417094593273         343.8667428525914         0.3026781573357723        147294405.3567706         0.6209000717572053        
177.0489738685451         23.11418083695883         343.9697702224291         0.3026694676818013        147232839.0111513         0.6651999859750504        
177.0486038278273         23.11418919678142         344.0878220467358         0.3026621699089949        147162743.6011924         0.7159776093540131        
177.0483039361614         23.1141961233945          344.2215476108351         0.3026561675836866        147083959.8259384         0.7734915929686395        
177.0480618576903         23.11420184598063         344.3732015543952         0.3026512504145778        146995440.6614153         0.8386856731958687        
177.0478671540765         23.11420656121479         344.5450509096055         0.3026472381923242        146896221.5859495         0.9125025555040338        
177.0477116578891         23.11421042171464         344.7383384508427         0.3026439900504341        146786024.8869964         0.9954380688868696        
177.0475868071601         23.1142136008091          344.956363091575          0.3026413496937538        146663516.1099606         1.088862109507318         
177.0474856592459         23.11421624331467         345.2040538581151         0.302639187974125         146526647.4393252         1.194828831161431         
177.0474025732571         23.11421847127251         345.4895648094736         0.3026373977756677        146371927.0653888         1.316747936536558         
177.0473344819027         23.11422034595156         345.8184975649945         0.3026359235322559        146197711.5397688         1.45690617388027          
177.047278746698          23.114221921426           346.1971173687097         0.3026347163799661        146002507.4754253         1.61783907913923          
177.0472330136062         23.11422324824235         346.6337716542358         0.3026337313600928        145784425.3433393         1.802923234747141         
177.0471952506216         23.1142243720425          347.1405342032178         0.3026329286781049        145540726.3752506         2.01705138534453          
177.0471641538767         23.11422532044412         347.726966923105          0.3026322825364898        145271223.4447176         2.263976374670165         
177.0471383601825         23.11422612573277         348.4106163670195         0.3026317644094512        144973843.0920222         2.550718191050692         
177.0471169222957         23.11422681015216         349.2106568014005         0.3026313529389486        144648584.3827889         2.884841494706052         
177.0470991213423         23.1142273911028          350.1489250108683         0.3026310292066607        144298064.3133315         3.274866682484571         
177.0470843765388         23.11422788419024         351.251999478287          0.3026307771290825        143928203.7887679         3.731112989102257         
177.0470722336938         23.11422830399496         352.5514321278575         0.3026305842608703        143550350.9254483         4.265783202870807         
177.0470623218842         23.11422866575212         354.0876424875447         0.3026304430148687        143183373.2211707         4.894593068645918         
177.0470551860741         23.11422894849855         355.6841903591912         0.3026303617684604        142892472.6541634         5.545102531999873         
177.0470493881679         23.11422920349082         357.5678699040865         0.3026303272788947        142666688.3590244         6.309803603689943         
177.0470448971988         23.11422942321722         359.8001686171434         0.3026303368147699        142562516.9401414         7.213885912235128         
177.0470417987945         23.11422958851615         2.429733675482787         0.3026303524433436        142666481.7335602         8.27877619152423          
177.0470402287246         23.11422969868927         5.439372000065273         0.3026303225627431        143087622.4976097         9.5019664011852           
177.0470401445256         23.11422980144262         8.711288277740319         0.3026302671792694        143916678.2492239         10.84331610483787         
177.0470412630119         23.11422992880017         12.05762763771388         0.3026302629472571        145175608.4688854         12.23516857666982         
177.0470433146853         23.11423005957104         15.36228577509596         0.3026303018795996        146843561.5557221         13.63765677699121         
177.047046162585          23.11423019763334         18.59912050479072         0.3026303335462217        148908473.77678           15.04671079978289         
