SHAC.SunICRF.X            SHAC.SunICRF.Y            SHAC.SunICRF.Z            SHAC.ElapsedDays          
-139052427.2827753        47027036.08780563         20385713.46368001         0                         
-139057112.1593416        46990833.62731922         20370256.08254065         0.006944444445252884      
-139065988.8322391        46922194.27484587         20340949.09291769         0.02011060874792747       
-139082015.2569279        46798120.59842881         20287973.22666302         0.04390864472952671       
-139105833.598556         46613369.55365162         20209089.76642612         0.07934169287182158       
-139134281.0480792        46392157.23488034         20114638.18366582         0.1217623775810353        
-139161464.5410843        46180210.67197566         20024142.60916391         0.1624007831997005        
-139186987.5510973        45980714.09348235         19938962.63012988         0.2006470608102973        
-139205785.1359934        45833482.73098032         19876098.41586306         0.2288702053047018        
-139222835.1089595        45699721.64740823         19818985.55032176         0.2545088431434124        
-139240255.9864485        45562841.84105852         19760540.91327257         0.2807429393287748        
-139256538.0877861        45434724.07225242         19705837.31651082         0.3052956226456445        
-139272332.5154168        45310277.29573439         19652700.996058           0.3291429104938288        
-139287793.6981429        45188301.58124436         19600619.60356313         0.352514972735662         
-139303347.6549289        45065442.08614733         19548160.67705889         0.3760547941419645        
-139318035.3358426        44949285.6943554          19498563.69752525         0.3983089636967634        
-139332849.401894         44831990.74465263         19448480.41240997         0.420780057189404         
-139348527.7789569        44707696.43447813         19395408.33421935         0.4445908444249653        
-139364691.4721425        44579381.25712669         19340619.23298242         0.4691706510129734        
-139381753.6076722        44443735.83732886         19282700.03888301         0.4951532913109986        
-139399892.1911599        44299301.56586233         19221027.93061909         0.5228179302066565        
-139419529.9806405        44142652.03167662         19154139.84618278         0.5528205041118781        
-139441235.9870551        43969158.85717019         19080059.47872316         0.5860469177350751        
-139464402.5791458        43783580.54867854         19000818.65124072         0.6215852213717881        
-139490998.88587          43569992.82159734         18909617.74645612         0.662483941836399         
-139519479.5375741        43340624.78042537         18811678.4813626          0.7064002003899077        
-139552737.1366264        43071921.5995053          18696942.96494529         0.7578422341539408        
-139589837.3352318        42771053.53619908         18568472.77157925         0.8154348216266953        
-139631318.8837971        42433231.7240926          18424222.95148132         0.88009187024727          
-139678071.65022          42050647.49887329         18260859.05891162         0.953304213755473         
-139730325.3506588        41620703.01827504         18077271.62468594         1.035564304678701         
-139788137.6290677        41142076.92192945         17872896.20621464         1.127119516924722         
-139853448.6605834        40597560.59722259         17640384.35751418         1.231254415361036         
-139927513.887741         39975043.26045459         17374564.27955686         1.350274936259666         
-140011869.0068154        39259357.07107858         17068958.60738719         1.487067417983781         
-140106850.3289806        38444712.06735665         16721094.23210744         1.64272135491774          
-140214420.7814588        37510393.39603198         16322124.67603557         1.821172879637743         
-140336234.1939394        36436690.12990177         15863631.74525546         2.026157840184169         
-140474469.9057785        35197010.20995152         15334258.32486604         2.262715146156552         
-140630863.1140935        33765610.23873846         14723008.96097614         2.535708052688278         
-140807697.8943775        32107474.3908168          14014927.62373589         2.851751517184312         
-141007734.086101         30176633.45014286         13190379.34519801         3.219525126507506         
-141232740.0523432        27927430.58025338         12229860.53463033         3.647620758529229         
-141484641.2535725        25299733.09573071         11107682.99165118         4.147354140150128         
-141764595.1084275        22221933.71146303         9793254.269358469         4.732186905792332         
-142033207.5681615        19083716.84150213         8452987.683650387         5.328006927527895         
-142325164.2985624        15420679.13372088         6888535.642985683         6.022930863808142         
-142639477.4156236        11101556.80654152         5043812.380078126         6.841721804354165         
-142969351.8379286        5993288.057531681         2861951.642467622         7.809515271386772         
-143299525.8470195        -18726.14762146398        293957.7028422579         8.948093046594295         
-143602578.6047679        -6948623.632216997        -2666267.750669671        10.26053648741072         
-143841294.7235821        -14585115.01567537        -5928527.695131474        11.70770386581717         
-143985243.7944156        -22523155.46058142        -9319826.993508954        13.21403624432423         
-144025235.5871948        -30510199.70839696        -12732282.73386499        14.73278645490791         
-143962575.6289884        -38526113.58646587        -16157289.67404103        16.26116700330022         
-143798099.7763095        -46627592.49466242        -19619069.57270252        17.81100921119651         
-143530244.2409885        -54875390.48638677        -23143583.34989596        19.39502883076057         
-143155210.3352287        -63329124.68794467        -26756311.18961694        21.02588693190046         
-142669485.1785368        -72010047.55078575        -30466341.05875941        22.70899338727031         
-142072388.7500713        -80897649.36504793        -34264911.22594449        24.44166725315154         
-141367171.3078332        -89943711.17358159        -38131412.59309053        26.21564848419075         
-140558986.9300581        -99107336.7193248         -42048361.16472806        28.02382563581341         
-139650047.6740763        -108395571.8858044        -46018762.67537386        29.86833884240332         
-138639362.3001372        -117843946.4056367        -50057799.44623902        31.75697542072885         
-137523375.1199908        -127500939.6036907        -54186192.61897403        33.70022951914143         
-136297984.9393714        -137409051.106029         -58422109.04465415        35.70755341200856         
-134959118.2996911        -147603419.9809362        -62780570.45118724        37.78704250714509         
-133501856.2299515        -158120681.5085571        -67277240.91878261        39.94721312082402         
-131922256.5180789        -168986960.7168632        -71923290.2371622         42.19452175279002         
-130216815.84804          -180224008.4501756        -76728018.88403538        44.53457052425074         
-128383109.1172413        -191846258.9900569        -81697599.14691174        46.97145330641069         
-126418818.8552532        -203867980.2074159        -86838131.8667503         49.50921407507121         
-124321151.4876431        -216306644.4218041        -92157089.5604687         52.15256145258172         
-122088021.6156859        -229175693.4977138        -97660218.22023687        54.90533557463641         
-119716627.9812295        -242492917.5829282        -103355125.345352         57.77228798368742         
-117201040.1378057        -256292989.5505428        -109256637.0571597        60.76183308938926         
-114538682.089127         -270591284.8549277        -115371329.4454956        63.87824807730794         
-111723649.4609234        -285420772.1857485        -121713299.4411424        67.12965429414908         
-108752288.9779843        -300801845.0258237        -128291270.3904751        70.5214555719067          
-105617350.3758815        -316773009.8957732        -135121707.0169023        74.06307848964207         
-102315056.7852437        -333354378.4652736        -142213211.5273635        77.75991763173079         
-98296374.62496775        -353248949.070202         -150721823.7136285        82.22039057348593         
-94564715.056776          -371485902.3414572        -158521597.2398324        86.33146507428319         
-90039239.53372756        -393344385.3251716        -167870375.5282832        91.28487175000919         
-85238957.6418114         -416269132.2945262        -177675303.8419006        96.50797243211855         
-80133105.53990266        -440405349.6237755        -187998486.8044274        102.0356056942182         
-74704563.57473862        -465831181.0398201        -198873349.9052827        107.8875763357355         
-68943921.87430388        -492588605.7180601        -210317846.4238273        114.0754043709094         
-62940951.63106597        -520264641.1139715        -222155335.8488872        120.5046141097482         
-57952535.96891002        -543125780.4599518        -231933478.452554         125.8356860511631         
-53571347.09644423        -563114397.1096475        -240483026.7408885        130.5108911270145         
-49718170.48695808        -580632131.4491639        -247975756.8794494        134.6182277708212         
-46324439.98040197        -596017548.7967646        -254556465.5633192        138.2329234576973         
-43330940.4317477         -609557430.1105647        -260347806.0873159        141.4194048373829         
-40686412.79278047        -621496366.34914          -265454395.566713         144.2331115780325         
-38346614.39613962        -632043112.6906772        -269965515.9532722        146.7216970039735         
-36273354.03621662        -641376272.0106499        -273957559.1013291        148.9261688575061         
-34433526.24881551        -649649562.7645369        -277496273.9618299        150.8819941356123         
-32798440.84301105        -656995430.1078804        -280638309.254159         152.6198555020746         
-31343249.58896656        -663528040.0980443        -283432493.0032323        154.1662904504774         
-30046348.52343334        -669346261.4350061        -285921115.2661871        155.5443481899056         
