SHAC.SunICRF.X            SHAC.SunICRF.Y            SHAC.SunICRF.Z            SHAC.Sun.RMAG             SHAC.SunICRF.VMAG         SHAC.SunICRF.FPA          SHAC.Sun.ECC              SHAC.Sun.SMA              SHAC.ElapsedDays          
-139059927.2827753        47026036.08780563         20385713.46368001         148204887.771779          68.55428992899721         102.1929093721795         4.157852564635376         -45625112.42853751        0                         
-139060052.6196826        47025214.46556993         20385364.38835033         148204696.6575876         68.5514345415009          102.2872489540235         4.156020335390926         -45631290.17590339        0.0001521954181953333     
-139060181.1866812        47024361.19744249         20385001.75589749         148204496.6736437         68.53925365992801         102.3863962984953         4.15271290474536          -45657543.14236114        0.0003102400442003272     
-139060307.971097         47023508.9501887          20384639.44094101         148204295.3903226         68.51763162779761         102.484822021801          4.147997634401663         -45704177.98216762        0.0004681046193582006     
-139060433.3555396        47022655.31749844         20384276.4200415          148204092.2623509         68.48693432679056         102.5809864574727         4.141955748165437         -45770509.30381829        0.0006262574170250446     
-139060557.3723134        47021800.39903045         20383912.73679625         148203887.3576737         68.44803943774829         102.6732117865786         4.134747736307412         -45854778.23548634        0.0007847016822779551     
-139060680.2582715        47020943.04213838         20383547.90386464         148203680.4658184         68.40213850236626         102.7602339287074         4.126574837630019         -45954557.72500064        0.0009436709442525171     
-139060802.9310092        47020077.35435747         20383179.4171997          148203470.2339338         68.3503360865476          102.8415534467277         4.117613329051053         -46067603.28307929        0.001104276045225561      
-139060926.9491126        47019192.70775411         20382802.75485794         148203254.1308685         68.2934284054236          102.917253055993          4.107984086982399         -46192330.25819793        0.001268507046916056      
-139061053.8749624        47018278.13013341         20382413.24485318         148203029.4994732         68.23211845916069         102.987439227711          4.097793185545308         -46327345.04362115        0.001438420978956856      
-139061134.6559325        47017691.56195919         20382163.37980418         148202884.8425426         68.19221559028098         103.0281951291417         4.091241379274242         -46415576.80167791        0.001547467058117036      
-139061165.458928         47017467.02843197         20382067.7235597          148202829.3564357         68.17691815784077         103.0429401394266         4.088744262811197         -46449477.38299689        0.001589224026247393      
-139061193.4963638        47017262.25372934         20381980.48039791         148202778.7012525         68.16298029273359         103.0559839137188         4.086475627568882         -46480401.56139802        0.001627313715289347      
-139061243.1412857        47016898.75849449         20381825.60469822         148202688.6660517         68.13831133358111         103.0782093872895         4.082474826441337         -46535220.58812507        0.001694943872280419      
-139061347.9809169        47016127.51914972         20381496.95782293         148202497.1699477         68.08653314958238         103.1215907588508         4.074133037123906         -46650638.53191133        0.001838509953813627      
-139061488.3488425        47015087.90651781         20381053.86648527         148202238.13884           68.01867636793686         103.1725549184912         4.063302390967185         -46802634.27849904        0.002032189637247939      
-139061633.3106545        47014006.85100846         20380593.02244207         148201967.8383524         67.95132008785305         103.2174373392097         4.052651623940128         -46954342.97663305        0.002233775616332423      
-139061785.2758607        47012866.60846335         20380106.86179419         148201681.8614179         67.8844420834901          103.2570854924154         4.042164002570498         -47105804.09852573        0.002446594902721699      
-139061945.1555721        47011660.45405234         20379592.51618132         148201378.5368545         67.81867083411804         103.2918093534799         4.031926939618622         -47255572.44784622        0.002671923946763854      
-139062114.3534367        47010377.89432533         20379045.50946057         148201055.2394694         67.75436543338537         103.3220351204703         4.021985914560879         -47402790.36086208        0.00291174536687322       
-139062293.3060608        47009015.73329277         20378464.47735745         148200711.1798347         67.69217659215349         103.3480268492956         4.012431559269658         -47545910.30240663        0.003166678849083837      
-139062482.5772823        47007569.84804244         20377847.66074967         148200345.339882          67.63256127498302         103.3701384065824         4.003324274623807         -47683804.3186764         0.003437516104895622      
-139062683.1604191        47006032.83967862         20377191.90306485         148199955.8736587         67.57572686817258         103.3887906764423         3.994686581287019         -47815907.18123627        0.003725662085344084      
-139062895.9982452        47004397.67604272         20376494.20394682         148199541.0261105         67.5218215866216          103.4043786572656         3.986532692066598         -47941785.99387235        0.004032453638501465      
-139063124.0368637        47002641.87077504         20375744.96802927         148199095.1143989         67.47050097897099         103.4173741371044         3.9788034121306           -48062163.24845326        0.004362130755907856      
-139063368.8155117        47000753.68122233         20374939.18306115         148198615.1744861         67.42182500963993         103.4280726272589         3.971501752072927         -48176824.10133681        0.004716922332590912      
-139063632.5154083        46998716.38979761         20374069.71326904         148198096.976143          67.37572673334434         103.4367633549291         3.964612280848412         -48285855.25911018        0.005099994734337088      
-139063917.22057          46996514.00251754         20373129.73110021         148197536.4712876         67.33218079031576         103.4436920189468         3.958126420336783         -48389250.17850202        0.005514381824468728      
-139064225.2099643        46994129.00279366         20372111.75874513         148196929.2242241         67.29114267405706         103.4490795488877         3.952033248244561         -48487052.07703098        0.005963406823866535      
-139064557.8854934        46991550.66459149         20371011.21661146         148196272.5298377         67.25267016555611         103.4531125832431         3.946337427664703         -48579063.74344543        0.006449116030125879      
-139064916.9197823        46988766.17475355         20369822.63440325         148195563.1545313         67.21674185990574         103.4559718170017         3.941032199478482         -48665279.56283447        0.006973948489758186      
-139065304.0451305        46985762.2598392          20368540.34540337         148194797.7498031         67.183300443886           103.4578226527025         3.936105876240777         -48745784.33905422        0.007540429964137729      
-139065721.0517806        46982525.19564613         20367158.49050458         148193972.8544603         67.15226116434287         103.4588133574082         3.931543112382232         -48820733.97138567        0.008151171146892011      
-139066170.4814812        46979035.41748038         20365668.71729966         148193083.5209392         67.12347810265052         103.4590743560815         3.927319964406042         -48890437.90201005        0.008809885199298151      
-139066655.3147296        46975269.94202134         20364061.2137339          148192123.9326446         67.09679563301509         103.4587150164579         3.923411457194266         -48955235.6221199         0.009520932399027515      
-139067178.8567006        46971203.25253393         20362325.08594431         148191087.630323          67.07206463973998         103.4578254695437         3.91979391438057          -49015456.92137955        0.01028915363713168       
-139067744.8985252        46966806.04657973         20360447.82361457         148189967.1939921         67.04913941138531         103.4564787942008         3.916444451644893         -49071428.78941917        0.01112010738870595       
-139068357.70346          46962045.34414756         20358415.34609914         148188754.2718662         67.02788360462507         103.4547331786966         3.913341802092731         -49123460.28334117        0.01202004987862892       
-139069022.0357719        46956884.26337309         20356211.90665451         148187439.52474           67.00817171842039         103.4526339984332         3.910466487431756         -49171838.27892301        0.01299597784236539       
-139069742.9812132        46951283.4155977          20353820.68803653         148186012.9831194         66.98989438633157         103.4502163665009         3.907801550989177         -49216813.83321609        0.01405536497622961       
-139070526.1940086        46945198.98579105         20351222.98297484         148184463.5601071         66.97295012291094         103.4475060127044         3.905331321632405         -49258621.86643551        0.01520652502949815       
-139071378.0330291        46938581.67301956         20348397.74179693         148182778.7839693         66.9572439072529          103.4445200906821         3.903041181470309         -49297484.27780577        0.01645881259901216       
-139072305.5652122        46931376.66181606         20345321.56018402         148180944.7938037         66.94268874964203         103.4412682849265         3.900917771592175         -49333605.7519358         0.01782262896449538       
-139073316.495246         46923524.16485824         20341968.91086105         148178946.4809605         66.92920689483316         103.4377540309736         3.898949148473029         -49367170.43718279        0.01930931958486326       
-139074419.4205483        46914957.4375288          20338311.29590336         148176766.9875976         66.91672605738781         103.4339744365995         3.897124218677006         -49398351.01200397        0.02093155014881631       
-139075623.9336103        46905601.97682557         20334316.90468799         148174387.5078            66.90517932274074         103.4299206383676         3.895432709678408         -49427308.74951051        0.02270345862052636       
-139076940.5074687        46895376.40244706         20329950.99006807         148171787.5174074         66.89450664787813         103.4255787852183         3.893865377572764         -49454189.56898839        0.02464048858382739       
-139078380.7882228        46884190.17438167         20325174.89386673         148168944.2003544         66.88465222244609         103.4209295545758         3.892413610550661         -49479130.48456378        0.02675982173968805       
-139079957.9779294        46871940.60547394         20319944.77133325         148165831.6980529         66.87556297373509         103.4159473969615         3.891069197113624         -49502263.32405812        0.02908094422309659       
-139081686.4711778        46858515.66696303         20314212.78898192         148162421.8329805         66.86719170210178         103.4106021157107         3.889824778814248         -49523706.70722017        0.03162511531991186       
-139083582.3965121        46843789.76161338         20307925.31985549         148158683.0471789         66.85949421891262         103.4048574897303         3.88867341976059          -49543573.23427865        0.03441616856434848       
-139085663.8773028        46827621.67029384         20301022.0667543          148154579.8969477         66.852429318342           103.3986708296345         3.887608591314509         -49561969.5812551         0.03748090119188419       
-139087951.2787558        46809852.59845946         20293435.22811624         148150072.5769947         66.84595891655475         103.3919925595893         3.886624181658222         -49578996.18429101        0.04084944471833296       
-139090466.9060032        46790308.47807982         20285090.48084163         148145117.5281176         66.84004933323553         103.3847673352583         3.885714683167091         -49594743.85864103        0.04455482862249482       
-139093236.0448492        46768791.82837046         20275903.50504785         148139665.4021454         66.83466890141314         103.3769312226884         3.884874820635036         -49609300.1096538         0.04863452337303897       
-139096286.816921         46745082.81226166         20265780.43510757         148133661.3671058         66.82978919543622         103.3684123381643         3.884099728133372         -49622745.97300858        0.05313024019415025       
-139099650.9508927        46718933.15706156         20254615.26390687         148127043.6128497         66.82538420553981         103.3591288459141         3.883384809132186         -49635158.3503577         0.05808908362087095       
-139103363.751404         46690066.28752215         20242289.8996101          148119743.441813          66.82143099546001         103.3489891933856         3.882725829451638         -49646608.31987118        0.06356352600414539       
-139107465.1059049        46658169.36255623         20228670.76550215         148111683.3250997         66.81790897364044         103.3378894554337         3.882118786035744         -49657163.34735308        0.06961291714105755       
-139111999.9291071        46622889.64477091         20213607.24980514         148102776.0751086         66.81480018685382         103.3257122386458         3.881559936485478         -49666886.71658663        0.07630417215113994       
-139116704.441236         46586276.35153056         20197974.3138933          148093540.5926811         66.81224035077244         103.313161219108          3.881075303506118         -49675323.68915174        0.08324861659639282       
-139121407.0013084        46549664.12285925         20182341.81633525         148084313.9470421         66.81020395103056         103.3006798343727         3.880665547361541         -49682460.66371825        0.09019306104164571       
-139126107.5979915        46513052.69904651         20166709.64820166         148075096.0316659         66.80857828951792         103.2882539222982         3.880314547807557         -49688576.80266708        0.09713750548689859       
-139130806.2216049        46476441.8744271          20151077.723188           148065886.7618965         66.80728082612175         103.2758728386595         3.880010503176327         -49693876.66024101        0.1040819499321515        
-139135502.8638473        46439831.48335455         20135445.97175314         148056686.0694222         66.80624972297468         103.2635284334966         3.879744574904818         -49698513.54723033        0.1110263943774044        
-139140197.5175256        46403221.39053721         20119814.33707914         148047493.8983898         66.80543773640042         103.2512143635834         3.879510012428584         -49702604.63295209        0.1179708388153813        
-139144890.1764261        46366611.48392718         20104182.7720933          148038310.2026123         66.8048081509348          103.2389256195071         3.879301570920571         -49706241.00361606        0.1249152832606342        
-139149580.8350889        46330001.66981868         20088551.23741819         148029134.9435128         66.80433200096314         103.2266581934896         3.879115113582878         -49709494.53860779        0.1318597277058871        
-139154269.4887117        46293391.86900642         20072919.69976127         148019968.0885909         66.80398612812868         103.2144088414646         3.87894733367613          -49712422.72026654        0.1388041721511399        
